secret_column,base_prec,base_recall,attack_prec,attack_recall,alc,base_count,attack_count,base_ci,base_ci_low,base_ci_high,base_n,attack_ci,attack_ci_low,attack_ci_high,attack_n
HRBP,1.0,0.055201698513800426,0.8846153846153846,0.055201698513800426,-1.8520418479643328,471,471,0.12872892185921536,0.8712710781407846,1.0,26,0.24972658588103025,0.7102409678828635,0.9599675537638938,26
HRBP,0.9868421052631579,0.3227176220806794,0.868421052631579,0.3227176220806794,-4.0004533089840635,471,471,0.04308526383709921,0.9532989189754386,0.9963841828125378,152,0.10768666546140604,0.80549621929718,0.913182884758586,152
HRBP,0.9908675799086758,0.46496815286624205,0.8721461187214612,0.46496815286624205,-6.167950760756659,471,471,0.030172465462881104,0.9673195124512733,0.9974919779141544,219,0.08862001197054703,0.821420861292784,0.910040873263331,219
HRBP,0.9880952380952381,0.535031847133758,0.876984126984127,0.535031847133758,-4.598852251412409,471,471,0.030353421542431147,0.9655897786280035,0.9959432001704347,252,0.08128721379828152,0.8306801044254594,0.9119673182237409,252
HRBP,0.9893992932862191,0.6008492569002123,0.8833922261484098,0.6008492569002123,-4.969867031512677,471,471,0.027086506934893118,0.9693018713949848,0.9963883783298779,283,0.07499083463871548,0.8407623158761209,0.9157531505148364,283
HRBP,0.9903536977491961,0.6602972399150743,0.8906752411575563,0.6602972399150743,-5.162686870295223,471,471,0.02468659613949986,0.9720274724482794,0.9967140685877792,311,0.06959287516182688,0.8511120779465656,0.9207049531083925,311
HRBP,0.9908814589665653,0.6985138004246284,0.8875379939209727,0.6985138004246284,-5.675701996330926,471,471,0.023356251576081677,0.9735378703568447,0.9968941219329264,329,0.06846905489404531,0.8488307326673606,0.917299787561406,329
HRBP,0.9916666666666667,0.7643312101910829,0.8833333333333333,0.7643312101910829,-6.527098765738548,471,471,0.02137265106938724,0.9757892964950321,0.9971619475644193,360,0.06646643340589642,0.8460528614897193,0.9125192948956157,360
HRBP,0.9922480620155039,0.821656050955414,0.8811369509043928,0.821656050955414,-7.204054053532384,471,471,0.019900600174283634,0.9774596092269963,0.9973602094012799,387,0.06460455256399289,0.8450885983838061,0.909693150947799,387
HRBP,0.9745222929936306,1.0,0.8959660297239915,1.0,-1.5803399315450175,471,471,0.029366637344222735,0.9560000975465982,0.9853667348908209,471,0.055293255498105154,0.8651160439502286,0.9204092994483337,471
HREKG,1.0,0.08900523560209424,0.9411764705882353,0.08900523560209424,-1.6219228761473763,191,191,0.18431813500885197,0.8156818649911483,1.0000000000000002,17,0.2593599053907565,0.7301796936242461,0.9895395990150025,17
HREKG,1.0,0.34554973821989526,0.9242424242424242,0.34554973821989526,-24.50615915182881,191,191,0.05500255701354129,0.9449974429864585,0.9999999999999998,66,0.13259991264314486,0.8346080497938948,0.9672079624370397,66
HREKG,0.9880952380952381,0.4397905759162304,0.9166666666666666,0.4397905759162304,-2.8646035381984065,191,191,0.06229085442016469,0.935604562492286,0.9978954169124507,84,0.12120467243406907,0.8378427769435238,0.9590474493775929,84
HREKG,0.9714285714285714,0.5497382198952879,0.8952380952380953,0.5497382198952879,-1.358285669847045,191,191,0.07089245159861335,0.9193437093626844,0.9902361609612977,105,0.11840119187424358,0.8220879355623253,0.9404891274365689,105
HREKG,0.9747899159663865,0.6230366492146597,0.907563025210084,0.6230366492146597,-1.3592862619568469,191,191,0.06289466235709262,0.9284951063536421,0.9913897687107347,119,0.10556316262321874,0.8420362632956674,0.9475994259188861,119
HREKG,0.9770992366412213,0.6858638743455497,0.916030534351145,0.6858638743455497,-1.3593034221421048,191,191,0.057348521295171984,0.934833035599554,0.992181556894726,131,0.09657712540680352,0.8558897996241043,0.9524669250309078,131
HREKG,0.9790209790209791,0.7486910994764397,0.916083916083916,0.7486910994764397,-1.5285394621059452,191,191,0.052700947912503904,0.9401390348659419,0.9928399827784458,143,0.09229424223397775,0.8590517953052086,0.9513460375391863,143
HREKG,0.9801324503311258,0.7905759162303665,0.9205298013245033,0.7905759162303665,-1.527794510938128,191,191,0.04999948857003711,0.9432211091748727,0.9932205977449098,151,0.08772089736920108,0.8662364367595801,0.9539573341287811,151
